"","Antiques","Art","Aviation","Birds","Boating","Camping /Walking /Climbing","Cats","Collecting","Crafts","Dance & Theatre","Dogs","Electronics & Radio","Entertainment / Listings","Equestrian","Film & Video Reviews","Fish","Games","General Health & Fitness","Hi-Fi","Holiday / Travel","Home Entertainment","Leisure Interests","Military","Modelling","Modern","Other","Pets","Photography","Racing & Betting","Radio Controlled Modelling","Railways","Steam","Transport General","TV & Film Spin Offs","Unclassified","Video & Camcorders","Wildlife","Yatching"
"Racing & Betting",2,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,7,3,0,0,0,0,0,0,0,3
"Radio Controlled Modelling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0
"Railways",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Transport General",0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0
"TV & Film Spin Offs",0,0,1,0,2,0,0,4,3,1,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,4,3,0,0,2,1,5,0,0,0,0
"Unclassified",1,6,8,1,6,7,0,11,9,0,3,11,8,11,3,3,0,3,2,8,0,0,4,5,3,0,0,2,3,8,0,0,8,8,728,0,0,1
"Video & Camcorders",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wildlife",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yatching",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
