Barcode	Description	UnitRRP	Category	CategoryID	CategoryFullNodeList
9770007956266	Cage N Aviary	175	547	::News/Mags::Magazines::Leisure Interests::Pets::Birds
9770008230181	Campaign	370	660	::News/Mags::Magazines::Trade & Professional::Advertising & Media
9770008540006	Le Canard Enchaine	150	501	::News/Mags::Magazines::Foreign Language::France
9770008598168	Car	440	589	::News/Mags::Magazines::Motoring::General
9770008603183	Car Mechanics	340	589	::News/Mags::Magazines::Motoring::General
9770008603213	Car Mechanics	385	589	::News/Mags::Magazines::Motoring::General
9770008603985	Car Mechanics	0	589	::News/Mags::Magazines::Motoring::General
9770008777198	Caterer & Hotelkeeper 	250	664	::News/Mags::Magazines::Trade & Professional::Catering
9770008777204	Caterer & Hotelkeeper	265	664	::News/Mags::Magazines::Trade & Professional::Catering
9770008777235	Caterer & Hotelkeeper	300	664	::News/Mags::Magazines::Trade & Professional::Catering
9770008777242	Caterer And Hotelkeeper	310	664	::News/Mags::Magazines::Trade & Professional::Catering
9770008777259	Caterer And Hotelkeeper	320	664	::News/Mags::Magazines::Trade & Professional::Catering
9770008777266	Caterer And Hotelkeeper	330	664	::News/Mags::Magazines::Trade & Professional::Catering
9770008777822	Caterer  Magazine	300	664	::News/Mags::Magazines::Trade & Professional::Catering
9770009328078	Cheshire Life	320	498	::News/Mags::Magazines::Countryside & County::Regional
9770009328085	Chesire Life	345	498	::News/Mags::Magazines::Countryside & County::Regional
9770009328993	Cheshire Life	350	498	::News/Mags::Magazines::Countryside & County::Regional
9770009658083	Churchtimes	110	517	::News/Mags::Magazines::General Interest::Religion
9770009658090	Church Times	125	517	::News/Mags::Magazines::General Interest::Religion
9770009658106	The Church Times	140	517	::News/Mags::Magazines::General Interest::Religion
9770009658113	Church Times	160	517	::News/Mags::Magazines::General Interest::Religion
9770009658137	Paper	190	517	::News/Mags::Magazines::General Interest::Religion
9770009658960	Church Times	280	517	::News/Mags::Magazines::General Interest::Religion
9770009658977	Church Times	250	517	::News/Mags::Magazines::General Interest::Religion
9770009658984	Church Times	110	517	::News/Mags::Magazines::General Interest::Religion
9770010306195	Commercial Motor	230	593	::News/Mags::Magazines::Motoring::Trucks
9770010306201	Commercialmotor	240	593	::News/Mags::Magazines::Motoring::Trucks
9770010306218	Commercial Motor	250	593	::News/Mags::Magazines::Motoring::Trucks
9770010306225	Commercial Motor	260	593	::News/Mags::Magazines::Motoring::Trucks
9770010306232	Commercial Motor	270	593	::News/Mags::Magazines::Motoring::Trucks
9770010306850	Commercial Motor	120	593	::News/Mags::Magazines::Motoring::Trucks
9770010306867	Commercial Motor	100	593	::News/Mags::Magazines::Motoring::Trucks
9770010306874	Commercial Motor	100	593	::News/Mags::Magazines::Motoring::Trucks
9770011027112	Countryman (The)	250	497	::News/Mags::Magazines::Countryside & County::National
9770011027129	Countryman (The)	295	497	::News/Mags::Magazines::Countryside & County::National
9770011027136	Countryman (The)	325	497	::News/Mags::Magazines::Countryside & County::National
9770011580297	Dalesman	250	498	::News/Mags::Magazines::Countryside & County::Regional
9770011580303	Dalesman	260	498	::News/Mags::Magazines::Countryside & County::Regional
9770011580310	Dalesman	270	498	::News/Mags::Magazines::Countryside & County::Regional
9770011605143	Dancing Times	325	534	::News/Mags::Magazines::Leisure Interests::Dance & Theatre
9770011899115	Derbyshire Life	275	498	::News/Mags::Magazines::Countryside & County::Regional
9770011899139	Derbyshire Life	315	498	::News/Mags::Magazines::Countryside & County::Regional
9770012901060	Ebony	325	686	::News/Mags::Magazines::Womens Interest::Womens Lifestyle / Fashion
9770012901077	Ebony	350	686	::News/Mags::Magazines::Womens Interest::Womens Lifestyle / Fashion
9770013061190	Economist	400	605	::News/Mags::Magazines::News & Current Affairs::Business & Finance
9770013061206	The Economist	420	605	::News/Mags::Magazines::News & Current Affairs::Business & Finance
9770013061213	The Economist Mag	440	605	::News/Mags::Magazines::News & Current Affairs::Business & Finance
9770013061503	Theeconomist	200	606	::News/Mags::Magazines::News & Current Affairs::Domestic
9770013061848	Economist (The)	495	605	::News/Mags::Magazines::News & Current Affairs::Business & Finance
9770013061855	Economist	495	605	::News/Mags::Magazines::News & Current Affairs::Business & Finance
9770013629000	Elle (French)	285	501	::News/Mags::Magazines::Foreign Language::France
9770014088073	Essence	350	686	::News/Mags::Magazines::Womens Interest::Womens Lifestyle / Fashion
9770014088080	Essence Mag	360	686	::News/Mags::Magazines::Womens Interest::Womens Lifestyle / Fashion
9770014124177	Estates Gazette	430	665	::News/Mags::Magazines::Trade & Professional::Construction & Property
9770014124191	Estate Gazzett	470	665	::News/Mags::Magazines::Trade & Professional::Construction & Property
9770014124221	Estates Gazette	500	665	::News/Mags::Magazines::Trade & Professional::Construction & Property
9770014842019	Farmers Guardian	160	661	::News/Mags::Magazines::Trade & Professional::Agriculture & Farming
9770014842026	Farmers Guardian	170	661	::News/Mags::Magazines::Trade & Professional::Agriculture & Farming
9770014842033	Farmers Guardian	180	661	::News/Mags::Magazines::Trade & Professional::Agriculture & Farming
9770014842040	Farmers Guardian 	190	661	::News/Mags::Magazines::Trade & Professional::Agriculture & Farming
9770014842057	Farmers Guardian	200	661	::News/Mags::Magazines::Trade & Professional::Agriculture & Farming
9770014842064	Farmers Guardian	220	661	::News/Mags::Magazines::Trade & Professional::Agriculture & Farming
9770014842101	Farmers Guardian	295	661	::News/Mags::Magazines::Trade & Professional::Agriculture & Farming
9770015064175	Field (The)	400	497	::News/Mags::Magazines::Countryside & County::National
9770015064182	The Field Magazine	420	497	::News/Mags::Magazines::Countryside & County::National
9770015064991	The Field	475	497	::News/Mags::Magazines::Countryside & County::National
9770015371204	Flight Lnternation	0	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770015371228	Flight International Magazine	310	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770015371242	Flight International	320	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770015371259	Flight International	330	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770015474028	Fly Fisherman	325	641	::News/Mags::Magazines::Sport::Angling::Game
9770015691944	Forbes	520	605	::News/Mags::Magazines::News & Current Affairs::Business & Finance
9770015833153	Forum	450	572	::News/Mags::Magazines::Magazines: Adult::Top Shelf General
9770015833160	Forum Mag	499	572	::News/Mags::Magazines::Magazines: Adult::Top Shelf General
9770015840007	Forum 	269	572	::News/Mags::Magazines::Magazines: Adult::Top Shelf General
9770015840809	Forum	235	572	::News/Mags::Magazines::Magazines: Adult::Top Shelf General
9770015840908	Fourm	315	572	::News/Mags::Magazines::Magazines: Adult::Top Shelf General
9770015955435	France Football Tuesday	270	501	::News/Mags::Magazines::Foreign Language::France
9770015955442	France Football 	270	501	::News/Mags::Magazines::Foreign Language::France
9770015955626	France Football	260	501	::News/Mags::Magazines::Foreign Language::France
9770016697068	Teenvogue	230	479	::News/Mags::Magazines::Comics & Teenage::Teenage
9770016741136	Geographical	390	610	::News/Mags::Magazines::News & Current Affairs::Science
9770016741143	Geographical	420	610	::News/Mags::Magazines::News & Current Affairs::Science
9770016741150	A	450	610	::News/Mags::Magazines::News & Current Affairs::Science
9770017181191	Golf Monthly	370	652	::News/Mags::Magazines::Sport::Golf
9770017181207	Golf Monthly	390	652	::News/Mags::Magazines::Sport::Golf
9770017181221	Golf Monthly	400	652	::News/Mags::Magazines::Sport::Golf
9770017181238	Golf Monthly	410	652	::News/Mags::Magazines::Sport::Golf
9770017181245	Golf Monthly	420	652	::News/Mags::Magazines::Sport::Golf
9770017181269	Golf Monthly	430	652	::News/Mags::Magazines::Sport::Golf
9770017181962	Golf Monthly	390	652	::News/Mags::Magazines::Sport::Golf
9770017181986	Golfmag	380	652	::News/Mags::Magazines::Sport::Golf
9770017181993	Golf Monthly	380	652	::News/Mags::Magazines::Sport::Golf
9770017208201	Good Housekeeping	320	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770017208225	Good Housekeeping	340	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770017208232	Good Housekeeping	350	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770017208249	Good Housekeeping	360	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770017208256	Good Housekeeplng	370	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770017208263	Good Keeping	380	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770017208270	Good Housekeeping  Magazine	390	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770017208935	Good Housekeeping	299	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770017209116	Good Housekeeping Usa	420	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770017310133	Gramophone	460	595	::News/Mags::Magazines::Music::Classical
9770017310140	Gramophone Magazine	480	595	::News/Mags::Magazines::Music::Classical
9770017310997	Gramophone Magazine	500	595	::News/Mags::Magazines::Music::Classical
9770017435140	Grocer (The)	195	673	::News/Mags::Magazines::Trade & Professional::Retail
9770017435164	Grocer (The)	240	673	::News/Mags::Magazines::Trade & Professional::Retail
9770017435188	Grocer (The)	300	673	::News/Mags::Magazines::Trade & Professional::Retail
9770017435195	The Grocer	320	673	::News/Mags::Magazines::Trade & Professional::Retail
9770017568077	Guns & Ammo	375	656	::News/Mags::Magazines::Sport::Shooting
9770017711077	Hampshire County Magazine	299	498	::News/Mags::Magazines::Countryside & County::Regional
9770017787089	Harpers Bazaar	420	686	::News/Mags::Magazines::Womens Interest::Womens Lifestyle / Fashion
9770017787096	Harpers Bazaar	450	686	::News/Mags::Magazines::Womens Interest::Womens Lifestyle / Fashion
9770017787973	Happer Bazzar Us	495	686	::News/Mags::Magazines::Womens Interest::Womens Lifestyle / Fashion
9770018423191	Homes & Gardens	330	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770018423207	Homes & Gardens	340	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770018423214	Homes And Gardens	360	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770018423221	Homes And Gardens	370	524	::News/Mags::Magazines::Home Interests::Lifestyle
9770018423238	Homes And Gardens	380	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770018423245	Homes And Gardens	390	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770018424037	Homes Overseas	325	475	::News/Mags::Magazines::Buying & Selling::Property
9770018514202	Horse & Hound	210	537	::News/Mags::Magazines::Leisure Interests::Equestrian
9770018514219	Horse & Hound	220	537	::News/Mags::Magazines::Leisure Interests::Equestrian
9770018514226	Horse & Hound	230	537	::News/Mags::Magazines::Leisure Interests::Equestrian
9770018514233	Horse & Hound	240	537	::News/Mags::Magazines::Leisure Interests::Equestrian
9770018514240	Hourse And Hound	250	537	::News/Mags::Magazines::Leisure Interests::Equestrian
9770018514257	Hourse N Hound	260	537	::News/Mags::Magazines::Leisure Interests::Equestrian
9770018514899	House And Hound	290	537	::News/Mags::Magazines::Leisure Interests::Equestrian
9770018514912	Horse Hound	270	537	::News/Mags::Magazines::Leisure Interests::Equestrian
9770018514936	Horse And Hound	295	537	::News/Mags::Magazines::Leisure Interests::Equestrian
9770018514981	Horse & Hound	299	537	::News/Mags::Magazines::Leisure Interests::Equestrian
9770018642073	House Beautiful	390	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770019136229	Ideal Home	310	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770019136236	Ideal Home	320	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770019136243	Magazine	330	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770019136250	Ideal Homes	340	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770019136267	Ideal Home Mag	350	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770019136274	Mags	360	677	::News/Mags::Magazines::Womens Interest::Home Interest
9770022913053	Karting	350	592	::News/Mags::Magazines::Motoring::Sporting
9770022913060	Karting	380	592	::News/Mags::Magazines::Motoring::Sporting
9770023003104	Kent Life County	315	498	::News/Mags::Magazines::Countryside & County::Regional
9770023716127	Lady (The)	150	689	::News/Mags::Magazines::Womens Interest::Womens Weeklies
